Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Jan 7th, 2020 02:15,0
Jan 7th, 2020 02:30,0
Jan 7th, 2020 02:45,0
Jan 7th, 2020 03:00,0
Jan 7th, 2020 03:15,0
Jan 7th, 2020 03:30,1
Jan 7th, 2020 03:45,0
Jan 7th, 2020 04:00,0
Jan 7th, 2020 04:15,0
Jan 7th, 2020 04:30,0
Jan 7th, 2020 04:45,0
Jan 7th, 2020 05:00,0
Jan 7th, 2020 05:15,2
Jan 7th, 2020 05:30,2
Jan 7th, 2020 05:45,3
Jan 7th, 2020 06:00,1
Jan 7th, 2020 06:15,3
Jan 7th, 2020 06:30,3
Jan 7th, 2020 06:45,6
Jan 7th, 2020 07:00,5
Jan 7th, 2020 07:15,10
Jan 7th, 2020 07:30,24
Jan 7th, 2020 07:45,56
Jan 7th, 2020 08:00,110
Jan 7th, 2020 08:15,53
Jan 7th, 2020 08:30,24
Jan 7th, 2020 08:45,28
Jan 7th, 2020 09:00,13
Jan 7th, 2020 09:15,10
Jan 7th, 2020 09:30,8
Jan 7th, 2020 09:45,4
Jan 7th, 2020 10:00,5
Jan 7th, 2020 10:15,11
Jan 7th, 2020 10:30,5
Jan 7th, 2020 10:45,6
Jan 7th, 2020 11:00,7
Jan 7th, 2020 11:15,5
Jan 7th, 2020 11:30,6
Jan 7th, 2020 11:45,8
Jan 7th, 2020 12:00,5
Jan 7th, 2020 12:15,4
Jan 7th, 2020 12:30,7
Jan 7th, 2020 12:45,4
Jan 7th, 2020 13:00,0
Jan 7th, 2020 13:15,3
Jan 7th, 2020 13:30,7
Jan 7th, 2020 13:45,15
Jan 7th, 2020 14:00,5
Jan 7th, 2020 14:15,9
Jan 7th, 2020 14:30,32
Jan 7th, 2020 14:45,44
Jan 7th, 2020 15:00,22
Jan 7th, 2020 15:15,18
Jan 7th, 2020 15:30,81
Jan 7th, 2020 15:45,34
Jan 7th, 2020 16:00,17
Jan 7th, 2020 16:15,17
Jan 7th, 2020 16:30,23
Jan 7th, 2020 16:45,11
Jan 7th, 2020 17:00,17
Jan 7th, 2020 17:15,20
Jan 7th, 2020 17:30,11
Jan 7th, 2020 17:45,11
Jan 7th, 2020 18:00,8
Jan 7th, 2020 18:15,7
Jan 7th, 2020 18:30,4
Jan 7th, 2020 18:45,9
Jan 7th, 2020 19:00,6
Jan 7th, 2020 19:15,5
Jan 7th, 2020 19:30,0
Jan 7th, 2020 19:45,4
Jan 7th, 2020 20:00,5
Jan 7th, 2020 20:15,1
Jan 7th, 2020 20:30,2
Jan 7th, 2020 20:45,1
Jan 7th, 2020 21:00,5
Jan 7th, 2020 21:15,2
Jan 7th, 2020 21:30,0
Jan 7th, 2020 21:45,0
Jan 7th, 2020 22:00,1
Jan 7th, 2020 22:15,0
Jan 7th, 2020 22:30,0
Jan 7th, 2020 22:45,0
Jan 7th, 2020 23:00,0
Jan 7th, 2020 23:15,1
Jan 7th, 2020 23:30,0
Jan 7th, 2020 23:45,1
Jan 8th, 2020 00:00,0
Jan 8th, 2020 00:15,0
Jan 8th, 2020 00:30,0
Jan 8th, 2020 00:45,1
Jan 8th, 2020 01:00,0
Jan 8th, 2020 01:15,0
Jan 8th, 2020 01:30,0
Jan 8th, 2020 01:45,0
Jan 8th, 2020 02:00,0
Jan 8th, 2020 02:15,0
Jan 8th, 2020 02:30,0
Jan 8th, 2020 02:45,0
Jan 8th, 2020 03:00,0
Jan 8th, 2020 03:15,0
Jan 8th, 2020 03:30,0
Jan 8th, 2020 03:45,0
Jan 8th, 2020 04:00,0
Jan 8th, 2020 04:15,0
Jan 8th, 2020 04:30,0
Jan 8th, 2020 04:45,0
Jan 8th, 2020 05:00,0
Jan 8th, 2020 05:15,0
Jan 8th, 2020 05:30,1
Jan 8th, 2020 05:45,3
Jan 8th, 2020 06:00,1
Jan 8th, 2020 06:15,2
Jan 8th, 2020 06:30,2
Jan 8th, 2020 06:45,3
Jan 8th, 2020 07:00,5
Jan 8th, 2020 07:15,10
Jan 8th, 2020 07:30,13
Jan 8th, 2020 07:45,16
