Period,January 1 2020 to December 31 2020,
,,
Time,CA Eco-Multi 1 -Davis CA,Total counts on 3rd Street
Sep 27th, 2020 17:45,1
Sep 27th, 2020 18:00,0
Sep 27th, 2020 18:15,1
Sep 27th, 2020 18:30,1
Sep 27th, 2020 18:45,0
Sep 27th, 2020 19:00,0
Sep 27th, 2020 19:15,1
Sep 27th, 2020 19:30,1
Sep 27th, 2020 19:45,2
Sep 27th, 2020 20:00,0
Sep 27th, 2020 20:15,1
Sep 27th, 2020 20:30,1
Sep 27th, 2020 20:45,2
Sep 27th, 2020 21:00,0
Sep 27th, 2020 21:15,1
Sep 27th, 2020 21:30,1
Sep 27th, 2020 21:45,1
Sep 27th, 2020 22:00,3
Sep 27th, 2020 22:15,0
Sep 27th, 2020 22:30,2
Sep 27th, 2020 22:45,1
Sep 27th, 2020 23:00,1
Sep 27th, 2020 23:15,0
Sep 27th, 2020 23:30,0
Sep 27th, 2020 23:45,0
Sep 28th, 2020 00:00,1
Sep 28th, 2020 00:15,0
Sep 28th, 2020 00:30,1
Sep 28th, 2020 00:45,0
Sep 28th, 2020 01:00,0
Sep 28th, 2020 01:15,0
Sep 28th, 2020 01:30,0
Sep 28th, 2020 01:45,0
Sep 28th, 2020 02:00,0
Sep 28th, 2020 02:15,0
Sep 28th, 2020 02:30,0
Sep 28th, 2020 02:45,0
Sep 28th, 2020 03:00,0
Sep 28th, 2020 03:15,0
Sep 28th, 2020 03:30,0
Sep 28th, 2020 03:45,0
Sep 28th, 2020 04:00,0
Sep 28th, 2020 04:15,0
Sep 28th, 2020 04:30,0
Sep 28th, 2020 04:45,0
Sep 28th, 2020 05:00,0
Sep 28th, 2020 05:15,1
Sep 28th, 2020 05:30,1
Sep 28th, 2020 05:45,1
Sep 28th, 2020 06:00,2
Sep 28th, 2020 06:15,3
Sep 28th, 2020 06:30,2
Sep 28th, 2020 06:45,2
Sep 28th, 2020 07:00,5
Sep 28th, 2020 07:15,5
Sep 28th, 2020 07:30,6
Sep 28th, 2020 07:45,5
Sep 28th, 2020 08:00,7
Sep 28th, 2020 08:15,11
Sep 28th, 2020 08:30,5
Sep 28th, 2020 08:45,9
Sep 28th, 2020 09:00,10
Sep 28th, 2020 09:15,6
Sep 28th, 2020 09:30,6
Sep 28th, 2020 09:45,7
Sep 28th, 2020 10:00,7
Sep 28th, 2020 10:15,5
Sep 28th, 2020 10:30,3
Sep 28th, 2020 10:45,4
Sep 28th, 2020 11:00,6
Sep 28th, 2020 11:15,3
Sep 28th, 2020 11:30,3
Sep 28th, 2020 11:45,4
Sep 28th, 2020 12:00,4
Sep 28th, 2020 12:15,2
Sep 28th, 2020 12:30,2
Sep 28th, 2020 12:45,1
Sep 28th, 2020 13:00,6
Sep 28th, 2020 13:15,1
Sep 28th, 2020 13:30,1
Sep 28th, 2020 13:45,2
Sep 28th, 2020 14:00,0
Sep 28th, 2020 14:15,3
Sep 28th, 2020 14:30,0
Sep 28th, 2020 14:45,3
Sep 28th, 2020 15:00,0
Sep 28th, 2020 15:15,3
Sep 28th, 2020 15:30,2
Sep 28th, 2020 15:45,0
Sep 28th, 2020 16:00,2
Sep 28th, 2020 16:15,3
Sep 28th, 2020 16:30,0
Sep 28th, 2020 16:45,1
Sep 28th, 2020 17:00,2
Sep 28th, 2020 17:15,0
Sep 28th, 2020 17:30,1
Sep 28th, 2020 17:45,3
Sep 28th, 2020 18:00,0
Sep 28th, 2020 18:15,2
Sep 28th, 2020 18:30,0
Sep 28th, 2020 18:45,2
Sep 28th, 2020 19:00,4
Sep 28th, 2020 19:15,2
Sep 28th, 2020 19:30,3
Sep 28th, 2020 19:45,9
Sep 28th, 2020 20:00,2
Sep 28th, 2020 20:15,7
Sep 28th, 2020 20:30,1
Sep 28th, 2020 20:45,1
Sep 28th, 2020 21:00,3
Sep 28th, 2020 21:15,2
Sep 28th, 2020 21:30,2
Sep 28th, 2020 21:45,1
Sep 28th, 2020 22:00,0
Sep 28th, 2020 22:15,1
Sep 28th, 2020 22:30,0
Sep 28th, 2020 22:45,1
Sep 28th, 2020 23:00,0
Sep 28th, 2020 23:15,0
Sep 28th, 2020 23:30,1
Sep 28th, 2020 23:45,0
Sep 29th, 2020 00:00,1
Sep 29th, 2020 00:15,0
Sep 29th, 2020 00:30,0
Sep 29th, 2020 00:45,0
Sep 29th, 2020 01:00,0
Sep 29th, 2020 01:15,0
Sep 29th, 2020 01:30,0
Sep 29th, 2020 01:45,0
Sep 29th, 2020 02:00,0
Sep 29th, 2020 02:15,0
Sep 29th, 2020 02:30,0
Sep 29th, 2020 02:45,0
Sep 29th, 2020 03:00,0
Sep 29th, 2020 03:15,0
Sep 29th, 2020 03:30,0
Sep 29th, 2020 03:45,1
Sep 29th, 2020 04:00,0
Sep 29th, 2020 04:15,0
Sep 29th, 2020 04:30,0
Sep 29th, 2020 04:45,0
Sep 29th, 2020 05:00,0
Sep 29th, 2020 05:15,0
Sep 29th, 2020 05:30,0
Sep 29th, 2020 05:45,3
Sep 29th, 2020 06:00,2
Sep 29th, 2020 06:15,4
Sep 29th, 2020 06:30,1
Sep 29th, 2020 06:45,6
Sep 29th, 2020 07:00,5
Sep 29th, 2020 07:15,6
Sep 29th, 2020 07:30,10
Sep 29th, 2020 07:45,5
Sep 29th, 2020 08:00,4
Sep 29th, 2020 08:15,4
Sep 29th, 2020 08:30,6
Sep 29th, 2020 08:45,5
Sep 29th, 2020 09:00,6
Sep 29th, 2020 09:15,7
Sep 29th, 2020 09:30,8
Sep 29th, 2020 09:45,10
Sep 29th, 2020 10:00,5
Sep 29th, 2020 10:15,9
Sep 29th, 2020 10:30,6
Sep 29th, 2020 10:45,2
Sep 29th, 2020 11:00,3
Sep 29th, 2020 11:15,3
Sep 29th, 2020 11:30,1
Sep 29th, 2020 11:45,2
Sep 29th, 2020 12:00,1
Sep 29th, 2020 12:15,1
Sep 29th, 2020 12:30,1
Sep 29th, 2020 12:45,0
Sep 29th, 2020 13:00,1
Sep 29th, 2020 13:15,1
Sep 29th, 2020 13:30,0
Sep 29th, 2020 13:45,3
Sep 29th, 2020 14:00,3
Sep 29th, 2020 14:15,5
Sep 29th, 2020 14:30,3
Sep 29th, 2020 14:45,2
Sep 29th, 2020 15:00,2
Sep 29th, 2020 15:15,3
Sep 29th, 2020 15:30,2
Sep 29th, 2020 15:45,3
Sep 29th, 2020 16:00,1
Sep 29th, 2020 16:15,4
Sep 29th, 2020 16:30,0
Sep 29th, 2020 16:45,4
Sep 29th, 2020 17:00,0
Sep 29th, 2020 17:15,1
Sep 29th, 2020 17:30,3
Sep 29th, 2020 17:45,0
Sep 29th, 2020 18:00,2
Sep 29th, 2020 18:15,0
Sep 29th, 2020 18:30,1
Sep 29th, 2020 18:45,0
Sep 29th, 2020 19:00,3
Sep 29th, 2020 19:15,3
Sep 29th, 2020 19:30,2
Sep 29th, 2020 19:45,6
Sep 29th, 2020 20:00,1
Sep 29th, 2020 20:15,1
Sep 29th, 2020 20:30,2
Sep 29th, 2020 20:45,0
Sep 29th, 2020 21:00,1
Sep 29th, 2020 21:15,1
Sep 29th, 2020 21:30,1
Sep 29th, 2020 21:45,0
Sep 29th, 2020 22:00,3
Sep 29th, 2020 22:15,3
Sep 29th, 2020 22:30,1
Sep 29th, 2020 22:45,0
Sep 29th, 2020 23:00,0
Sep 29th, 2020 23:15,1
Sep 29th, 2020 23:30,0
Sep 29th, 2020 23:45,0
Sep 30th, 2020 00:00,0
Sep 30th, 2020 00:15,0
Sep 30th, 2020 00:30,1
Sep 30th, 2020 00:45,0
Sep 30th, 2020 01:00,1
Sep 30th, 2020 01:15,0
Sep 30th, 2020 01:30,0
Sep 30th, 2020 01:45,0
Sep 30th, 2020 02:00,0
Sep 30th, 2020 02:15,1
Sep 30th, 2020 02:30,0
Sep 30th, 2020 02:45,0
Sep 30th, 2020 03:00,0
Sep 30th, 2020 03:15,0
Sep 30th, 2020 03:30,1
Sep 30th, 2020 03:45,0
Sep 30th, 2020 04:00,1
Sep 30th, 2020 04:15,0
Sep 30th, 2020 04:30,0
Sep 30th, 2020 04:45,0
Sep 30th, 2020 05:00,0
Sep 30th, 2020 05:15,1
Sep 30th, 2020 05:30,1
Sep 30th, 2020 05:45,2
Sep 30th, 2020 06:00,2
Sep 30th, 2020 06:15,1
Sep 30th, 2020 06:30,1
Sep 30th, 2020 06:45,7
Sep 30th, 2020 07:00,8
Sep 30th, 2020 07:15,8
Sep 30th, 2020 07:30,6
Sep 30th, 2020 07:45,5
Sep 30th, 2020 08:00,9
Sep 30th, 2020 08:15,5
Sep 30th, 2020 08:30,10
Sep 30th, 2020 08:45,8
Sep 30th, 2020 09:00,9
Sep 30th, 2020 09:15,4
Sep 30th, 2020 09:30,7
Sep 30th, 2020 09:45,8
Sep 30th, 2020 10:00,6
Sep 30th, 2020 10:15,8
Sep 30th, 2020 10:30,2
Sep 30th, 2020 10:45,3
Sep 30th, 2020 11:00,3
Sep 30th, 2020 11:15,1
Sep 30th, 2020 11:30,1
Sep 30th, 2020 11:45,5
Sep 30th, 2020 12:00,0
Sep 30th, 2020 12:15,1
Sep 30th, 2020 12:30,2
Sep 30th, 2020 12:45,1
Sep 30th, 2020 13:00,2
Sep 30th, 2020 13:15,1
Sep 30th, 2020 13:30,1
Sep 30th, 2020 13:45,4
Sep 30th, 2020 14:00,2
Sep 30th, 2020 14:15,2
Sep 30th, 2020 14:30,0
Sep 30th, 2020 14:45,2
Sep 30th, 2020 15:00,1
Sep 30th, 2020 15:15,1
Sep 30th, 2020 15:30,2
Sep 30th, 2020 15:45,0
Sep 30th, 2020 16:00,1
Sep 30th, 2020 16:15,3
Sep 30th, 2020 16:30,2
Sep 30th, 2020 16:45,2
Sep 30th, 2020 17:00,1
Sep 30th, 2020 17:15,1
Sep 30th, 2020 17:30,3
Sep 30th, 2020 17:45,3
Sep 30th, 2020 18:00,0
Sep 30th, 2020 18:15,0
Sep 30th, 2020 18:30,0
Sep 30th, 2020 18:45,0
Sep 30th, 2020 19:00,0
Sep 30th, 2020 19:15,0
Sep 30th, 2020 19:30,0
Sep 30th, 2020 19:45,3
Sep 30th, 2020 20:00,1
Sep 30th, 2020 20:15,0
Sep 30th, 2020 20:30,1
Sep 30th, 2020 20:45,3
Sep 30th, 2020 21:00,1
Sep 30th, 2020 21:15,2
Sep 30th, 2020 21:30,2
Sep 30th, 2020 21:45,1
Sep 30th, 2020 22:00,3
Sep 30th, 2020 22:15,1
Sep 30th, 2020 22:30,0
Sep 30th, 2020 22:45,3
Sep 30th, 2020 23:00,0
Sep 30th, 2020 23:15,0
Sep 30th, 2020 23:30,2
Sep 30th, 2020 23:45,1
Oct 1st, 2020 00:00,0
Oct 1st, 2020 00:15,0
Oct 1st, 2020 00:30,0
Oct 1st, 2020 00:45,1
Oct 1st, 2020 01:00,0
Oct 1st, 2020 01:15,0
Oct 1st, 2020 01:30,1
Oct 1st, 2020 01:45,0
Oct 1st, 2020 02:00,0
Oct 1st, 2020 02:15,2
Oct 1st, 2020 02:30,0
Oct 1st, 2020 02:45,0
Oct 1st, 2020 03:00,0
Oct 1st, 2020 03:15,0
Oct 1st, 2020 03:30,0
Oct 1st, 2020 03:45,1
Oct 1st, 2020 04:00,0
Oct 1st, 2020 04:15,0
Oct 1st, 2020 04:30,0
Oct 1st, 2020 04:45,0
Oct 1st, 2020 05:00,1
Oct 1st, 2020 05:15,1
Oct 1st, 2020 05:30,0
Oct 1st, 2020 05:45,3
Oct 1st, 2020 06:00,1
Oct 1st, 2020 06:15,1
Oct 1st, 2020 06:30,1
Oct 1st, 2020 06:45,2
Oct 1st, 2020 07:00,2
Oct 1st, 2020 07:15,5
Oct 1st, 2020 07:30,4
Oct 1st, 2020 07:45,3
Oct 1st, 2020 08:00,4
Oct 1st, 2020 08:15,5
Oct 1st, 2020 08:30,4
Oct 1st, 2020 08:45,8
Oct 1st, 2020 09:00,3
Oct 1st, 2020 09:15,6
Oct 1st, 2020 09:30,1
Oct 1st, 2020 09:45,3
Oct 1st, 2020 10:00,6
Oct 1st, 2020 10:15,2
Oct 1st, 2020 10:30,2
Oct 1st, 2020 10:45,0
Oct 1st, 2020 11:00,1
Oct 1st, 2020 11:15,0
Oct 1st, 2020 11:30,2
Oct 1st, 2020 11:45,3
Oct 1st, 2020 12:00,2
Oct 1st, 2020 12:15,0
Oct 1st, 2020 12:30,1
Oct 1st, 2020 12:45,0
Oct 1st, 2020 13:00,0
Oct 1st, 2020 13:15,3
Oct 1st, 2020 13:30,0
Oct 1st, 2020 13:45,1
Oct 1st, 2020 14:00,0
Oct 1st, 2020 14:15,0
Oct 1st, 2020 14:30,0
Oct 1st, 2020 14:45,0
Oct 1st, 2020 15:00,0
Oct 1st, 2020 15:15,0
Oct 1st, 2020 15:30,0
Oct 1st, 2020 15:45,0
Oct 1st, 2020 16:00,0
Oct 1st, 2020 16:15,0
Oct 1st, 2020 16:30,0
Oct 1st, 2020 16:45,0
Oct 1st, 2020 17:00,0
Oct 1st, 2020 17:15,0
Oct 1st, 2020 17:30,0
Oct 1st, 2020 17:45,0
Oct 1st, 2020 18:00,1
Oct 1st, 2020 18:15,3
Oct 1st, 2020 18:30,5
Oct 1st, 2020 18:45,2
Oct 1st, 2020 19:00,4
Oct 1st, 2020 19:15,2
Oct 1st, 2020 19:30,3
Oct 1st, 2020 19:45,1
Oct 1st, 2020 20:00,1
Oct 1st, 2020 20:15,2
Oct 1st, 2020 20:30,2
Oct 1st, 2020 20:45,2
Oct 1st, 2020 21:00,0
Oct 1st, 2020 21:15,5
Oct 1st, 2020 21:30,2
Oct 1st, 2020 21:45,3
Oct 1st, 2020 22:00,1
Oct 1st, 2020 22:15,0
Oct 1st, 2020 22:30,1
Oct 1st, 2020 22:45,1
Oct 1st, 2020 23:00,2
Oct 1st, 2020 23:15,1
Oct 1st, 2020 23:30,0
Oct 1st, 2020 23:45,0
Oct 2nd, 2020 00:00,1
Oct 2nd, 2020 00:15,0
Oct 2nd, 2020 00:30,1
Oct 2nd, 2020 00:45,0
Oct 2nd, 2020 01:00,0
Oct 2nd, 2020 01:15,1
Oct 2nd, 2020 01:30,0
Oct 2nd, 2020 01:45,0
Oct 2nd, 2020 02:00,0
Oct 2nd, 2020 02:15,0
Oct 2nd, 2020 02:30,0
Oct 2nd, 2020 02:45,0
Oct 2nd, 2020 03:00,0
Oct 2nd, 2020 03:15,0
Oct 2nd, 2020 03:30,0
Oct 2nd, 2020 03:45,0
Oct 2nd, 2020 04:00,0
Oct 2nd, 2020 04:15,0
Oct 2nd, 2020 04:30,0
Oct 2nd, 2020 04:45,1
Oct 2nd, 2020 05:00,1
Oct 2nd, 2020 05:15,0
Oct 2nd, 2020 05:30,0
Oct 2nd, 2020 05:45,1
Oct 2nd, 2020 06:00,2
Oct 2nd, 2020 06:15,0
Oct 2nd, 2020 06:30,1
Oct 2nd, 2020 06:45,2
Oct 2nd, 2020 07:00,3
Oct 2nd, 2020 07:15,2
Oct 2nd, 2020 07:30,3
Oct 2nd, 2020 07:45,4
Oct 2nd, 2020 08:00,2
Oct 2nd, 2020 08:15,3
Oct 2nd, 2020 08:30,5
Oct 2nd, 2020 08:45,4
Oct 2nd, 2020 09:00,6
Oct 2nd, 2020 09:15,7
Oct 2nd, 2020 09:30,0
Oct 2nd, 2020 09:45,2
Oct 2nd, 2020 10:00,3
Oct 2nd, 2020 10:15,3
Oct 2nd, 2020 10:30,5
Oct 2nd, 2020 10:45,1
Oct 2nd, 2020 11:00,0
Oct 2nd, 2020 11:15,2
Oct 2nd, 2020 11:30,0
Oct 2nd, 2020 11:45,1
Oct 2nd, 2020 12:00,0
Oct 2nd, 2020 12:15,0
Oct 2nd, 2020 12:30,0
Oct 2nd, 2020 12:45,1
Oct 2nd, 2020 13:00,2
Oct 2nd, 2020 13:15,1
Oct 2nd, 2020 13:30,1
Oct 2nd, 2020 13:45,1
Oct 2nd, 2020 14:00,0
Oct 2nd, 2020 14:15,1
Oct 2nd, 2020 14:30,1
Oct 2nd, 2020 14:45,1
Oct 2nd, 2020 15:00,0
Oct 2nd, 2020 15:15,1
Oct 2nd, 2020 15:30,0
Oct 2nd, 2020 15:45,1
Oct 2nd, 2020 16:00,0
Oct 2nd, 2020 16:15,0
Oct 2nd, 2020 16:30,0
Oct 2nd, 2020 16:45,0
Oct 2nd, 2020 17:00,1
Oct 2nd, 2020 17:15,0
Oct 2nd, 2020 17:30,2
Oct 2nd, 2020 17:45,1
Oct 2nd, 2020 18:00,3
Oct 2nd, 2020 18:15,2
Oct 2nd, 2020 18:30,1
Oct 2nd, 2020 18:45,3
Oct 2nd, 2020 19:00,4
Oct 2nd, 2020 19:15,2
Oct 2nd, 2020 19:30,2
Oct 2nd, 2020 19:45,3
Oct 2nd, 2020 20:00,1
Oct 2nd, 2020 20:15,1
Oct 2nd, 2020 20:30,0
Oct 2nd, 2020 20:45,3
Oct 2nd, 2020 21:00,0
Oct 2nd, 2020 21:15,4
Oct 2nd, 2020 21:30,0
Oct 2nd, 2020 21:45,1
Oct 2nd, 2020 22:00,0
Oct 2nd, 2020 22:15,0
Oct 2nd, 2020 22:30,0
Oct 2nd, 2020 22:45,0
Oct 2nd, 2020 23:00,1
Oct 2nd, 2020 23:15,1
Oct 2nd, 2020 23:30,0
Oct 2nd, 2020 23:45,0
Oct 3rd, 2020 00:00,1
Oct 3rd, 2020 00:15,2
Oct 3rd, 2020 00:30,0
Oct 3rd, 2020 00:45,0
Oct 3rd, 2020 01:00,0
Oct 3rd, 2020 01:15,0
Oct 3rd, 2020 01:30,0
Oct 3rd, 2020 01:45,0
Oct 3rd, 2020 02:00,1
Oct 3rd, 2020 02:15,1
Oct 3rd, 2020 02:30,0
Oct 3rd, 2020 02:45,0
Oct 3rd, 2020 03:00,0
Oct 3rd, 2020 03:15,0
Oct 3rd, 2020 03:30,0
Oct 3rd, 2020 03:45,0
Oct 3rd, 2020 04:00,0
Oct 3rd, 2020 04:15,0
Oct 3rd, 2020 04:30,0
Oct 3rd, 2020 04:45,0
Oct 3rd, 2020 05:00,0
Oct 3rd, 2020 05:15,0
Oct 3rd, 2020 05:30,0
Oct 3rd, 2020 05:45,1
Oct 3rd, 2020 06:00,2
Oct 3rd, 2020 06:15,2
Oct 3rd, 2020 06:30,2
Oct 3rd, 2020 06:45,0
Oct 3rd, 2020 07:00,2
Oct 3rd, 2020 07:15,1
Oct 3rd, 2020 07:30,0
Oct 3rd, 2020 07:45,1
Oct 3rd, 2020 08:00,1
Oct 3rd, 2020 08:15,6
Oct 3rd, 2020 08:30,1
Oct 3rd, 2020 08:45,7
Oct 3rd, 2020 09:00,5
Oct 3rd, 2020 09:15,0
Oct 3rd, 2020 09:30,12
Oct 3rd, 2020 09:45,4
Oct 3rd, 2020 10:00,3
Oct 3rd, 2020 10:15,4
Oct 3rd, 2020 10:30,4
Oct 3rd, 2020 10:45,4
Oct 3rd, 2020 11:00,3
Oct 3rd, 2020 11:15,2
Oct 3rd, 2020 11:30,1
Oct 3rd, 2020 11:45,0
Oct 3rd, 2020 12:00,1
Oct 3rd, 2020 12:15,1
Oct 3rd, 2020 12:30,1
Oct 3rd, 2020 12:45,1
Oct 3rd, 2020 13:00,0
Oct 3rd, 2020 13:15,1
Oct 3rd, 2020 13:30,1
Oct 3rd, 2020 13:45,1
Oct 3rd, 2020 14:00,1
Oct 3rd, 2020 14:15,1
Oct 3rd, 2020 14:30,0
Oct 3rd, 2020 14:45,1
Oct 3rd, 2020 15:00,1
Oct 3rd, 2020 15:15,2
Oct 3rd, 2020 15:30,1
Oct 3rd, 2020 15:45,0
Oct 3rd, 2020 16:00,0
Oct 3rd, 2020 16:15,0
Oct 3rd, 2020 16:30,0
Oct 3rd, 2020 16:45,0
Oct 3rd, 2020 17:00,0
Oct 3rd, 2020 17:15,0
Oct 3rd, 2020 17:30,0
Oct 3rd, 2020 17:45,0
Oct 3rd, 2020 18:00,0
Oct 3rd, 2020 18:15,0
Oct 3rd, 2020 18:30,2
Oct 3rd, 2020 18:45,2
Oct 3rd, 2020 19:00,7
Oct 3rd, 2020 19:15,4
Oct 3rd, 2020 19:30,1
Oct 3rd, 2020 19:45,7
Oct 3rd, 2020 20:00,2
Oct 3rd, 2020 20:15,1
Oct 3rd, 2020 20:30,1
Oct 3rd, 2020 20:45,4
Oct 3rd, 2020 21:00,2
Oct 3rd, 2020 21:15,3
Oct 3rd, 2020 21:30,0
Oct 3rd, 2020 21:45,1
Oct 3rd, 2020 22:00,0
Oct 3rd, 2020 22:15,1
Oct 3rd, 2020 22:30,1
Oct 3rd, 2020 22:45,1
Oct 3rd, 2020 23:00,1
Oct 3rd, 2020 23:15,0
Oct 3rd, 2020 23:30,1
Oct 3rd, 2020 23:45,0
Oct 4th, 2020 00:00,1
Oct 4th, 2020 00:15,0
Oct 4th, 2020 00:30,0
Oct 4th, 2020 00:45,0
Oct 4th, 2020 01:00,0
Oct 4th, 2020 01:15,0
Oct 4th, 2020 01:30,0
Oct 4th, 2020 01:45,0
Oct 4th, 2020 02:00,0
Oct 4th, 2020 02:15,0
Oct 4th, 2020 02:30,0
Oct 4th, 2020 02:45,0
Oct 4th, 2020 03:00,0
Oct 4th, 2020 03:15,0
Oct 4th, 2020 03:30,0
Oct 4th, 2020 03:45,0
Oct 4th, 2020 04:00,0
Oct 4th, 2020 04:15,0
Oct 4th, 2020 04:30,1
Oct 4th, 2020 04:45,0
Oct 4th, 2020 05:00,0
Oct 4th, 2020 05:15,0
Oct 4th, 2020 05:30,1
Oct 4th, 2020 05:45,0
Oct 4th, 2020 06:00,1
Oct 4th, 2020 06:15,0
Oct 4th, 2020 06:30,2
Oct 4th, 2020 06:45,0
Oct 4th, 2020 07:00,3
Oct 4th, 2020 07:15,6
Oct 4th, 2020 07:30,4
Oct 4th, 2020 07:45,8
Oct 4th, 2020 08:00,4
Oct 4th, 2020 08:15,13
Oct 4th, 2020 08:30,10
Oct 4th, 2020 08:45,8
Oct 4th, 2020 09:00,13
Oct 4th, 2020 09:15,19
Oct 4th, 2020 09:30,13
Oct 4th, 2020 09:45,4
Oct 4th, 2020 10:00,7
Oct 4th, 2020 10:15,10
Oct 4th, 2020 10:30,10
Oct 4th, 2020 10:45,3
Oct 4th, 2020 11:00,6
Oct 4th, 2020 11:15,8
Oct 4th, 2020 11:30,12
Oct 4th, 2020 11:45,3
Oct 4th, 2020 12:00,6
Oct 4th, 2020 12:15,2
Oct 4th, 2020 12:30,1
Oct 4th, 2020 12:45,2
Oct 4th, 2020 13:00,8
Oct 4th, 2020 13:15,1
Oct 4th, 2020 13:30,3
Oct 4th, 2020 13:45,9
Oct 4th, 2020 14:00,8
Oct 4th, 2020 14:15,10
Oct 4th, 2020 14:30,2
Oct 4th, 2020 14:45,3
Oct 4th, 2020 15:00,4
Oct 4th, 2020 15:15,14
Oct 4th, 2020 15:30,5
Oct 4th, 2020 15:45,2
Oct 4th, 2020 16:00,2
Oct 4th, 2020 16:15,0
Oct 4th, 2020 16:30,6
Oct 4th, 2020 16:45,1
Oct 4th, 2020 17:00,6
Oct 4th, 2020 17:15,4
Oct 4th, 2020 17:30,4
Oct 4th, 2020 17:45,1
Oct 4th, 2020 18:00,3
Oct 4th, 2020 18:15,5
Oct 4th, 2020 18:30,9
Oct 4th, 2020 18:45,10
Oct 4th, 2020 19:00,14
Oct 4th, 2020 19:15,5
Oct 4th, 2020 19:30,2
Oct 4th, 2020 19:45,6
Oct 4th, 2020 20:00,3
Oct 4th, 2020 20:15,2
Oct 4th, 2020 20:30,7
Oct 4th, 2020 20:45,0
Oct 4th, 2020 21:00,4
Oct 4th, 2020 21:15,1
Oct 4th, 2020 21:30,1
Oct 4th, 2020 21:45,0
Oct 4th, 2020 22:00,2
Oct 4th, 2020 22:15,0
Oct 4th, 2020 22:30,2
Oct 4th, 2020 22:45,1
Oct 4th, 2020 23:00,2
Oct 4th, 2020 23:15,0
Oct 4th, 2020 23:30,0
Oct 4th, 2020 23:45,2
Oct 5th, 2020 00:00,1
Oct 5th, 2020 00:15,0
Oct 5th, 2020 00:30,1
Oct 5th, 2020 00:45,0
Oct 5th, 2020 01:00,0
Oct 5th, 2020 01:15,0
Oct 5th, 2020 01:30,0
Oct 5th, 2020 01:45,1
Oct 5th, 2020 02:00,0
Oct 5th, 2020 02:15,0
Oct 5th, 2020 02:30,1
Oct 5th, 2020 02:45,0
Oct 5th, 2020 03:00,0
Oct 5th, 2020 03:15,0
Oct 5th, 2020 03:30,0
Oct 5th, 2020 03:45,0
Oct 5th, 2020 04:00,0
Oct 5th, 2020 04:15,1
Oct 5th, 2020 04:30,0
Oct 5th, 2020 04:45,0
Oct 5th, 2020 05:00,0
Oct 5th, 2020 05:15,1
Oct 5th, 2020 05:30,1
Oct 5th, 2020 05:45,2
Oct 5th, 2020 06:00,3
Oct 5th, 2020 06:15,1
Oct 5th, 2020 06:30,2
Oct 5th, 2020 06:45,3
Oct 5th, 2020 07:00,3
Oct 5th, 2020 07:15,5
Oct 5th, 2020 07:30,7
Oct 5th, 2020 07:45,3
Oct 5th, 2020 08:00,5
Oct 5th, 2020 08:15,0
Oct 5th, 2020 08:30,7
Oct 5th, 2020 08:45,6
Oct 5th, 2020 09:00,5
Oct 5th, 2020 09:15,8
Oct 5th, 2020 09:30,2
Oct 5th, 2020 09:45,9
Oct 5th, 2020 10:00,6
Oct 5th, 2020 10:15,6
Oct 5th, 2020 10:30,3
Oct 5th, 2020 10:45,1
Oct 5th, 2020 11:00,2
Oct 5th, 2020 11:15,3
Oct 5th, 2020 11:30,1
Oct 5th, 2020 11:45,3
Oct 5th, 2020 12:00,5
Oct 5th, 2020 12:15,1
Oct 5th, 2020 12:30,3
Oct 5th, 2020 12:45,2
Oct 5th, 2020 13:00,4
Oct 5th, 2020 13:15,2
Oct 5th, 2020 13:30,4
Oct 5th, 2020 13:45,4
Oct 5th, 2020 14:00,4
Oct 5th, 2020 14:15,3
Oct 5th, 2020 14:30,2
Oct 5th, 2020 14:45,4
Oct 5th, 2020 15:00,6
Oct 5th, 2020 15:15,5
Oct 5th, 2020 15:30,3
Oct 5th, 2020 15:45,1
Oct 5th, 2020 16:00,3
Oct 5th, 2020 16:15,0
Oct 5th, 2020 16:30,3
Oct 5th, 2020 16:45,3
Oct 5th, 2020 17:00,2
Oct 5th, 2020 17:15,4
Oct 5th, 2020 17:30,0
Oct 5th, 2020 17:45,3
Oct 5th, 2020 18:00,3
Oct 5th, 2020 18:15,3
Oct 5th, 2020 18:30,9
Oct 5th, 2020 18:45,5
Oct 5th, 2020 19:00,8
Oct 5th, 2020 19:15,5
Oct 5th, 2020 19:30,4
Oct 5th, 2020 19:45,2
Oct 5th, 2020 20:00,2
Oct 5th, 2020 20:15,1
Oct 5th, 2020 20:30,3
Oct 5th, 2020 20:45,4
Oct 5th, 2020 21:00,0
Oct 5th, 2020 21:15,1
Oct 5th, 2020 21:30,0
Oct 5th, 2020 21:45,0
Oct 5th, 2020 22:00,2
Oct 5th, 2020 22:15,1
Oct 5th, 2020 22:30,1
Oct 5th, 2020 22:45,1
Oct 5th, 2020 23:00,0
Oct 5th, 2020 23:15,0
Oct 5th, 2020 23:30,0
Oct 5th, 2020 23:45,0
Oct 6th, 2020 00:00,0
Oct 6th, 2020 00:15,0
Oct 6th, 2020 00:30,0
Oct 6th, 2020 00:45,0
Oct 6th, 2020 01:00,2
Oct 6th, 2020 01:15,0
Oct 6th, 2020 01:30,0
Oct 6th, 2020 01:45,0
Oct 6th, 2020 02:00,0
Oct 6th, 2020 02:15,0
Oct 6th, 2020 02:30,0
Oct 6th, 2020 02:45,0
Oct 6th, 2020 03:00,0
Oct 6th, 2020 03:15,0
Oct 6th, 2020 03:30,0
